ID_Penjualan,ID_Produk,ID_Toko,tanggal_penjualan,kuantitas_penjualan,harga_penjualan,wilayah_penjualan
d8baa229-fd13-4fc3-a552-72bf42c67f90,989408a6-5273-4137-ae60-8b7a2ba99136,8bcbe504-282f-4158-9dce-02204c7dcf05,2024-01-01,86,182.81,Thompsonton
97a47d23-18c7-46ab-a47c-730fcb81d75c,3ade4abd-7f80-491e-99ec-f93097a8b473,39e45fbb-57eb-4b29-a188-5a525f9ab43e,2024-05-20,52,81.26,West Brandymouth
d5c38a84-7fd2-417f-bdfa-f2911c216fef,53f8ccec-218b-4017-bb24-40176e3c9887,281a5cc4-9f49-48f8-8689-ea9a028d4851,2024-02-01,42,118.69,Maryborough
3fabc39f-50c2-429a-9599-4e751c20b899,dd2d8a59-5eac-41eb-802c-1cee9c38e62c,2a2047a7-93a8-40f7-99ad-c33e0c1d8c6f,2024-02-26,72,126.97,Markport
f94e7a9f-1a69-4541-bf6d-9ca7a6adf5c0,d85cc780-557c-4bbf-b270-0e6d8422cf3c,15438fd0-40c5-47b1-b007-7b1a17bf7706,2024-01-16,53,34.52,Amandastad
5a235943-b05b-4287-ae9d-d5fbdacd70e7,3b806a91-312f-4b32-a3cf-d5907308ff61,1ae8fd5f-f2c9-47c9-a1aa-589713e44a4e,2024-03-18,33,188.89,New Daniel
cf6cc458-ab02-4d25-800a-0e00eba564ce,ec9d0bb8-fdec-47c8-80ea-06c2be1e6712,0e94bee3-a38b-4c2d-a4d5-e2c30d93eb0f,2024-04-06,20,64.46,Jenniferberg
b83093fd-876e-41c6-bb6b-b1ed063b8c74,57877316-00aa-4f50-89a8-76669d5be6cf,357d06ae-773a-480b-a472-70a9910e69e9,2024-02-02,86,143.16,Yolandatown
c5730f59-8fac-4d18-91a6-f5a37c6b9f8e,37719fc5-2e27-419b-b8b0-6d9fa70ddbcf,8535cbd4-1e46-4bed-9626-f5379e58615c,2024-05-16,30,113.81,South Eddieland
1a81347a-e36b-4041-9bac-f6fab399999d,cbdf95f6-53c5-46e3-8309-3562c05a0fda,90060dcd-fa59-4be1-9719-e660eb38d805,2024-02-13,55,100.89,Beckermouth
f35b3d87-00ed-40c0-a937-3ff7a1423d9a,77969708-9592-46f6-bff8-99eb07a44b58,05d05607-153e-4f03-b563-e1153a9d6efd,2024-01-12,36,42.01,Munozchester
