ID_Toko,nama_toko,alamat_toko,email_toko,no_telepon_toko
2ebfe234-10ec-4b04-9de0-967da6b3592b,"Murphy, Anderson and Ruiz","18065 Jeffrey Park
Matthewsview, NM 03104",danielwalker@frost-thornton.com,627.487.8731x6384
b3891c27-fe51-40e1-8805-2c4e7f7871f2,Jacobs-Thompson,"51832 Emma Lock
West Davidfurt, ID 15752",davisjeffrey@jones.com,+1-647-450-7716x044
26481525-a5e5-4beb-846a-54572d97dd7b,Davis-Lopez,"025 Christina Run
Port Stephaniefurt, MN 27578",lchan@daniel-berry.info,(850)841-6797x15291
163f3e23-09be-4f9f-84cf-8b1e9e12d189,Rich-Goodwin,"940 Paul Prairie Suite 294
Port Tammybury, AS 70201",camposjanet@turner.net,868.742.1973
e57766db-4211-4025-8d06-0b964737dffa,Rocha-Wilson,"54714 Matthew Port
Cortezstad, MA 79242",melanie52@schultz.org,001-739-921-2070x204
e01363c4-7c3d-4eb7-8769-7e4b7475953d,Davis-Sanchez,"7314 Murphy Alley Apt. 780
Port Jamesshire, UT 00768",chambershannah@lee.com,908.537.3641x767
0883b11b-6d32-47d4-b54c-7761bddf3451,"Sullivan, Randall and Harris","408 Wilson Overpass Apt. 422
Michaelbury, HI 71085",haynesamanda@lewis.com,621.225.4926x197
47b81213-caab-4c53-9717-6b92faebf0e2,Potts Group,"08083 Rodgers Valley Suite 075
North Tiffany, KY 61046",davidhoward@jordan.biz,(471)543-7830x719
785de16f-d4f7-4bdb-b500-c5814815fb28,Fox Ltd,"826 John Mission Suite 134
Daisybury, TX 01931",tricia17@hill.com,001-878-985-7895x5458
e6f513b8-aff9-4264-8506-6e8d1c0feb0c,Davila-Barrett,"9693 Amy Club
Port Lindastad, CO 69108",opaul@greer.com,+1-881-340-5106x96084
2a29c6b5-448e-447e-b2dd-df9a702e6c9f,Harris-Jenkins,"97791 John Curve
Anthonychester, SC 48981",matthew75@orr.com,378.478.7285x635
a9d72c47-9f38-4d64-98e7-ac9b40fb3ef6,Sandoval-Watts,"USNS Coffey
FPO AE 26199",williamsoncarolyn@wolf.com,001-703-675-1814
77600b82-bf33-4cd8-8297-b3e24633cc44,Espinoza-Crane,"429 Bowen Ports
Lake Randallshire, ND 14326",doris86@collins.com,420-589-1500
55a1bf5d-f24a-42de-ae3b-29b18c8d6736,White-Miller,"41472 Stein Groves Apt. 615
Port Tristan, FL 23884",scastro@pitts-jefferson.com,(698)577-9761
2d259672-73f0-4f05-8b2e-0b5c5f7bf59a,Rowe-Reynolds,"PSC 1487, Box 1335
APO AA 02466",lorrainemorales@moore.com,001-265-808-4130x577
